電池編號,V:測試電壓值 ,I:漏電流值,OM:絕緣電阻值,PF:結果判定
Q308T1G2-054,248.535,0,309510000,128
Q308T1G2-055,248.535,0,168901000,128
Q308T1G2-056,248.128,0,264667000,128
Q308T1G2-057,248.535,0,369536000,128
Q308T1G2-058,248.535,0,260570000,128
Q308T1G2-059,248.943,0,276350000,128
Q308T1G2-060,248.535,0,260570000,128
Q308T1G2-061,248.535,0,166140000,128
Q308T1G2-062,248.943,0,229599000,128
Q308T1G2-063,248.943,0,452395000,128
Q308T1G2-064,248.535,0,365110000,128
Q308T1G2-065,248.943,0,439377000,128
Q308T1G2-066,248.535,0,163030000,128
Q308T1G2-067,248.943,0,167324000,128
Q308T1G2-068,248.535,0,201232000,128
Q308T1G2-069,248.943,0,353025000,128
Q308T1G2-070,248.535,0,280983000,128
Q308T1G2-071,248.535,0,312684000,128
Q308T1G2-073,248.535,0,369536000,128
Q308T1G2-074,248.535,0,516724000,128
Q308T1G2-075,248.128,0,237787000,128
Q308T1G2-076,248.535,0,335019000,128
Q308T1G2-077,248.943,0,297919000,128
Q308T1G2-078,248.943,0,229599000,128
Q308T1G2-241,248.535,0,218543000,128
Q308T1H1-001,248.535,0,236331000,128
Q308T1H1-002,248.943,0,223712000,128
Q308T1H1-003,248.943,0,255537000,128
Q308T1H1-004,248.535,0,322610000,128
Q308T1H1-005,248.943,0,278874000,128
Q308T1H1-006,248.943,0,260997000,128
Q308T1H1-007,248.535,0,226667000,128
Q308T1H1-008,248.943,0,210598000,128
Q308T1H1-009,248.943,0,313197000,128
Q308T1H1-010,248.943,0,229599000,128
Q308T1H1-011,248.535,0,204609000,128
Q308T1H1-012,248.535,0,333188000,128
Q308T1H1-013,248.943,0,311599000,128
Q308T1H1-014,248.943,0,167784000,128
Q308T1H1-015,248.128,0,248463000,128
Q308T1H1-017,248.943,0,229599000,128
Q308T1H1-018,246.906,0,302868000,128
Q308T1H1-019,248.943,0,341192000,128
Q308T1H1-020,248.943,0,310017000,128
Q308T1H1-021,248.535,0,420506000,128
Q308T1H1-022,248.943,0,326595000,128
Q308T1H1-023,248.535,0,291739000,128
Q308T1H1-024,248.535,0,414785000,128
Q308T1H1-025,9.77844,-1,-1,72
Q308T1H1-026,248.943,0,240446000,128
Q308T1H1-027,248.535,0,256191000,128
Q308T1H1-028,249.35,0,349562000,128
Q308T1H1-029,248.943,0,302343000,128
Q308T1H1-030,248.943,0,306901000,128
Q308T1H1-031,248.943,0,129119000,128
Q308T1H1-032,248.943,0,299379000,128
Q308T1H1-033,248.535,0,378717000,128
Q308T1H1-034,248.535,0,284922000,128
Q308T1H1-035,248.943,0,215047000,128
Q308T1H1-036,248.943,0,159460000,128
Q308T1H1-037,248.943,0,280153000,128
Q308T1H1-038,248.943,0,300854000,128
Q308T1H1-039,248.128,0,222980000,128
Q308T1H1-040,248.943,0,240446000,128
Q308T1H1-041,248.943,0,258785000,128
Q308T1H1-042,249.35,0,262546000,128
Q308T1H1-043,248.535,0,352447000,128
Q308T1H1-044,248.535,0,356569000,128
Q308T1H1-045,248.535,0,480105000,128
Q308T1H1-046,248.535,0,544405000,128
Q308T1H1-047,248.535,0,290349000,128
Q308T1H1-048,248.535,0,191139000,128
Q308T1H1-049,248.943,0,251331000,128
Q308T1H1-050,248.943,0,384109000,128
Q308T1H1-051,248.943,0,449069000,128
Q308T1H1-052,248.535,0,249891000,128
Q308T1H1-053,248.943,0,281444000,128
Q308T1H1-054,248.535,0,241002000,128
Q308T1H1-055,248.535,0,254056000,128
Q308T1H1-056,248.943,0,427086000,128
Q308T1H1-057,248.943,0,316442000,128
Q308T1H1-058,248.535,0,208100000,128
Q308T1H1-059,248.943,0,331920000,128
Q308T1H1-060,248.943,0,396580000,128
Q308T1H1-061,248.943,0,252369000,128
Q308T1H1-062,248.943,0,389002000,128
Q308T1H1-063,247.721,0,302356000,128
Q308T1H1-064,248.943,0,218119000,128
Q308T1H1-065,248.943,0,237639000,128
Q308T1H1-066,248.128,0,227990000,128
Q308T1H1-067,248.943,0,394022000,128
Q308T1H1-068,248.535,0,388365000,128
Q308T1H1-069,248.943,0,355078000,128
Q308T1H1-070,248.535,0,237251000,128
Q308T1H1-071,248.943,0,345047000,128
Q308T1H1-072,248.943,0,418311000,128
Q308T1H1-073,248.535,0,294557000,128
Q308T1H1-074,248.943,0,314811000,128
Q308T1H1-100,248.535,0,266259000,128
Q308T1H1-200,248.535,0,290349000,128
Q308T1H2-001,248.943,0,284062000,128
Q308T1H2-002,248.943,0,253416000,128
Q308T1H2-003,248.943,0,299379000,128
Q308T1H2-004,248.943,0,348991000,128
Q308T1H2-005,248.535,0,238177000,128
Q308T1H2-006,248.943,0,399172000,128
Q308T1H2-006,248.943,0,1489600000,128
Q308T1H2-007,248.943,0,339296000,128
Q308T1H2-008,248.943,0,227038000,128
Q308T1H2-009,248.128,0,294075000,128
Q308T1H2-010,248.943,0,449069000,128
Q308T1H2-011,248.943,0,484709000,128
Q308T1H2-012,248.943,0,331920000,128
Q308T1H2-013,248.943,0,242355000,128
Q308T1H2-014,248.943,0,289447000,128
Q308T1H2-015,248.943,0,232218000,128
Q308T1H2-016,248.943,0,218901000,128
Q308T1H2-017,248.943,0,299379000,128
Q308T1H2-018,248.943,0,379338000,128
Q308T1H2-019,248.943,0,363532000,128
Q308T1H2-020,248.943,0,263247000,128
Q308T1H2-021,248.943,0,256611000,128
Q308T1H2-022,48.4848,-1,-1,72
Q308T1H2-023,248.943,0,335568000,128
Q308T1H2-024,248.943,0,305367000,128
Q308T1H2-025,249.35,0,205971000,128
Q308T1H2-026,249.35,0,242751000,128
Q308T1H2-027,248.943,0,374683000,128
Q308T1H2-028,248.943,0,208441000,128
Q308T1H2-029,249.35,0,399825000,128
Q308T1H2-030,248.943,0,311599000,128
Q308T1H2-031,8.55614,-1,-1,72
Q308T1H2-032,248.943,0,415465000,128
Q308T1H2-033,249.35,0,284527000,128
Q308T1H2-034,249.35,0,466972000,128
Q308T1H2-035,248.943,0,207028000,128
Q308T1H2-036,248.943,0,318090000,128
Q308T1H2-037,248.943,0,412658000,128
Q308T1H2-038,248.943,0,264387000,128
Q308T1H2-039,248.943,0,240446000,128
Q308T1H2-040,248.943,0,257693000,128
Q308T1H2-041,248.943,0,152683000,128
Q308T1H2-042,248.943,0,233997000,128
Q308T1H2-043,248.943,0,341192000,128
Q308T1H2-044,248.943,0,313197000,128
Q308T1H2-045,248.943,0,263247000,128
Q308T1H2-046,249.35,0,459950000,128
Q308T1H2-047,248.943,0,210598000,128
Q308T1H2-048,248.943,0,409888000,128
Q308T1H2-049,248.943,0,357154000,128
Q308T1H2-050,248.943,0,189082000,128
Q308T1H2-051,248.943,0,210598000,128
Q308T1H2-053,250.573,0,334093000,128
Q308T1H2-054,248.943,0,299379000,128
Q308T1H2-055,248.943,0,277606000,128
Q308T1H2-056,248.943,0,321439000,128
Q308T1H2-058,248.943,0,285389000,128
Q308T1H2-059,248.943,0,367912000,128
Q308T1H2-060,249.35,0,299869000,128
Q308T1H2-061,248.943,0,394022000,128
Q308T1H2-063,248.535,0,270993000,128
Q308T1H2-064,248.943,0,252369000,128
Q308T1H2-065,248.943,0,199586000,128
Q308T1H2-066,248.943,0,389002000,128
Q308T1H2-067,248.943,0,286729000,128
Q308T1H2-068,248.943,0,331920000,128
Q308T1H2-069,248.943,0,328351000,128
Q308T1H2-070,249.35,0,296958000,128
Q308T1H2-071,248.943,0,353025000,128
Q308T1H2-072,247.721,0,306937000,128
Q308T1H2-073,248.943,0,313197000,128
Q308T1H2-200,248.943,0,245274000,128
Q308T1H2-201,248.943,0,257693000,128
Q308T1I1-001,249.35,0,268304000,128
Q308T1I1-002,248.943,0,343109000,128
Q308T1I1-003,248.943,0,404459000,128
Q308T1I1-004,248.943,0,386540000,128
Q308T1I1-005,248.943,0,439377000,128
Q308T1I1-006,248.535,0,312684000,128
Q308T1I1-007,248.943,0,389002000,128
Q308T1I1-008,248.943,0,260997000,128
Q308T1I1-009,248.943,0,237639000,128
Q308T1I1-010,248.943,0,269046000,128
Q308T1I1-012,248.943,0,182308000,128
Q308T1I1-013,248.943,0,321439000,128
Q308T1I1-014,248.943,0,424120000,128
Q308T1I1-015,248.943,0,473437000,128
Q308T1I1-016,248.943,0,459198000,128
Q308T1I1-017,248.943,0,295040000,128
Q308T1I1-018,248.943,0,289447000,128
Q308T1I1-019,248.535,0,352447000,128
Q308T1I1-020,248.943,0,350996000,128
Q308T1I1-021,248.943,0,415465000,128
Q308T1I1-023,248.943,0,436238000,128
Q308T1I1-025,248.943,0,391496000,128
Q308T1I1-026,248.943,0,316442000,128
Q308T1I1-027,248.943,0,250301000,128
Q308T1I1-028,248.943,0,370141000,128
Q308T1I1-029,248.943,0,236718000,128
Q308T1I1-030,248.943,0,275105000,128
Q308T1I1-031,248.943,0,282747000,128
Q308T1I1-032,248.943,0,244293000,128
Q308T1I1-033,248.943,0,313197000,128
Q308T1I1-034,248.535,0,282284000,128
Q308T1I1-035,248.943,0,442560000,128
Q308T1I1-036,249.35,0,292695000,128
Q308T1I1-037,248.943,0,355078000,128
Q308T1I1-037,248.943,0,259887000,128
Q308T1I1-038,248.943,0,326595000,128
Q308T1I1-039,248.943,0,269046000,128
Q308T1I1-040,248.943,0,295040000,128
Q308T1I1-041,248.943,0,347008000,128
Q308T1I1-042,248.943,0,394022000,128
Q308T1I1-043,248.943,0,292217000,128
Q308T1I1-044,248.943,0,401798000,128
Q308T1I1-045,248.943,0,265536000,128
Q308T1I1-046,248.943,0,337422000,128
Q308T1I1-047,249.35,0,312109000,128
Q308T1I1-048,248.535,0,499782000,128
Q308T1I1-049,248.943,0,319756000,128
Q308T1I1-050,248.943,0,314811000,128
Q308T1I1-051,248.943,0,277606000,128
Q308T1I1-052,248.943,0,386540000,128
Q308T1I1-053,248.943,0,335568000,128
Q308T1I1-055,248.943,0,357154000,128
Q308T1I1-056,249.35,0,416145000,128
Q308T1I1-057,248.943,0,350996000,128
Q308T1I1-058,248.943,0,273871000,128
Q308T1I1-059,248.943,0,300854000,128
Q308T1I1-060,248.943,0,241397000,128
Q308T1I1-061,248.943,0,401798000,128
Q308T1I1-062,248.943,0,299379000,128
Q308T1I1-063,248.943,0,258785000,128
Q308T1I1-064,248.943,0,292217000,128
Q308T1I1-065,248.943,0,281444000,128
Q308T1I1-066,248.943,0,286729000,128
Q308T1I1-067,248.943,0,321439000,128
Q308T1I1-068,249.35,0,370747000,128
Q308T1I1-069,248.535,0,251956000,128
Q308T1I1-070,248.943,0,295040000,128
Q308T1I1-071,248.943,0,248266000,128
Q308T1I1-072,248.943,0,303847000,128
Q308T1I1-073,248.943,0,254472000,128
Q308T1I1-074,248.943,0,347008000,128
Q308T1I1-076,249.35,0,481680000,128
Q308T1I1-077,248.535,0,371789000,128
Q308T1I1-078,248.535,0,201899000,128
Q308T1I1-079,248.943,0,222895000,128
Q308T1I1-200,248.943,0,359255000,128
Q308T1I1-201,248.943,0,341192000,128
Q308T1I1-202,248.943,0,159045000,128
Q308T1I1-203,248.943,0,187918000,128
Q308T1I2-001,248.943,0,237639000,128
Q308T1I2-002,248.943,0,237639000,128
Q308T1I2-003,248.943,0,353025000,128
Q308T1I2-004,249.35,0,357739000,128
Q308T1I2-005,248.943,0,265536000,128
Q308T1I2-006,248.943,0,208441000,128
Q308T1I2-007,248.943,0,199586000,128
Q308T1I2-008,248.128,0,378096000,128
Q308T1I2-009,248.943,0,197648000,128
Q308T1I2-010,248.943,0,169178000,128
Q308T1I2-011,248.943,0,250301000,128
Q308T1I2-012,248.943,0,302343000,128
Q308T1I2-013,248.943,0,296472000,128
Q308T1I2-015,248.943,0,225363000,128
Q308T1I2-016,248.943,0,576164000,128
Q308T1I2-017,248.943,0,222895000,128
Q308T1I2-018,248.943,0,302343000,128
Q308T1I2-019,248.943,0,267866000,128
Q308T1I2-021,248.943,0,257693000,128
Q308T1I2-022,248.943,0,324858000,128
Q308T1I2-023,248.943,0,254472000,128
Q308T1I2-024,248.943,0,242355000,128
Q308T1I2-025,248.943,0,240446000,128
Q308T1I2-026,248.943,0,192660000,128
Q308T1I2-028,248.535,0,232723000,128
Q308T1I2-029,248.943,0,223712000,128
Q308T1I2-030,248.943,0,355078000,128
Q308T1I2-031,248.943,0,365709000,128
Q308T1I2-032,248.943,0,517571000,128
Q308T1I2-033,248.943,0,331920000,128
Q308T1I2-034,248.943,0,288082000,128
Q308T1I2-035,248.943,0,273871000,128
Q308T1I2-036,248.943,0,254472000,128
Q308T1I2-037,248.943,0,192660000,128
Q308T1I2-038,249.35,0,288553000,128
Q308T1I2-039,248.943,0,195748000,128
Q308T1I2-040,248.943,0,289447000,128
Q308T1I2-041,248.943,0,313197000,128
Q308T1I2-042,248.943,0,350996000,128
Q308T1I2-043,248.943,0,316442000,128
Q308T1I2-044,248.943,0,249279000,128
Q308T1I2-045,248.535,0,294557000,128
Q308T1I2-046,249.35,0,215399000,128
Q308T1I2-047,248.943,0,248266000,128
Q308T1I2-048,248.943,0,359255000,128
Q308T1I2-049,248.943,0,173012000,128
Q308T1I2-050,248.535,0,342547000,128
Q308T1I2-051,248.535,0,267427000,128
Q308T1I2-052,248.943,0,300854000,128
Q308T1I2-053,248.943,0,381708000,128
Q308T1I2-054,249.35,0,216160000,128
Q308T1I2-055,248.943,0,275105000,128
Q308T1I2-056,249.35,0,339852000,128
Q308T1I2-057,248.943,0,161143000,128
Q308T1I2-059,248.943,0,275105000,128
Q308T1I2-060,248.943,0,278874000,128
Q308T1I2-061,248.943,0,308451000,128
Q308T1I2-063,248.943,0,480892000,128
Q308T1I2-064,248.943,0,258785000,128
Q308T1I2-065,248.943,0,389002000,128
Q308T1I2-066,250.573,0,192104000,128
Q308T1I2-067,248.943,0,250301000,128
Q308T1I2-068,248.943,0,183403000,128
Q308T1I2-069,249.35,0,251742000,128
Q308T1I2-070,248.943,0,191452000,128
Q308T1I2-071,248.943,0,337422000,128
Q308T1I2-072,248.943,0,212799000,128
Q308T1I2-073,248.943,0,326595000,128
Q308T1I2-074,248.943,0,445791000,128
Q308T1I2-075,248.943,0,278874000,128
Q308T1I2-076,248.943,0,345047000,128
Q308T1I2-077,248.943,0,264387000,128
Q308T1I2-078,248.943,0,331920000,128
Q308T1I2-079,248.943,0,433144000,128
Q308T1I2-079,248.943,0,245274000,128
Q308T1I2-080,249.35,0,257031000,128
Q308T1I2-200,248.535,0,227513000,128
Q308T1I2-201,248.943,0,295040000,128
Q308T1I2-287,248.943,0,220481000,128
Q318T1A2-001,248.943,0,285389000,128
Q318T1A2-001,248.535,0,300361000,128
Q318T1A2-003,248.943,0,513221000,128
Q318T1A2-004,248.535,0,214695000,128
Q318T1A2-005,248.943,0,350996000,128
Q318T1A2-005,248.535,0,221721000,128
Q318T1A2-006,248.535,0,338741000,128
Q318T1A2-007,248.943,0,308451000,128
Q318T1A2-007,248.943,0,202901000,128
Q318T1A2-007,248.535,0,298889000,128
Q318T1A2-008,248.535,0,191740000,128
Q318T1A2-009,248.535,0,448334000,128
Q318T1A2-010,248.128,0,245457000,128
Q318T1A2-010,248.535,0,279694000,128
Q318T1A2-012,248.535,0,277152000,128
Q318T1A2-013,248.128,0,281821000,128
Q318T1A2-013,248.943,0,376996000,128
Q318T1A2-014,248.943,0,306901000,128
Q318T1A2-014,248.943,0,245274000,128
Q318T1A2-015,248.943,0,288082000,128
Q318T1A2-016,248.535,0,213194000,128
Q318T1A2-017,248.535,0,307946000,128
Q318T1A2-017,248.943,0,339296000,128
Q318T1A2-018,248.535,0,221721000,128
Q318T1A2-019,248.535,0,303350000,128
Q318T1A2-019,248.535,0,260570000,128
Q318T1A2-020,248.943,0,220481000,128
Q318T1A2-020,248.535,0,148354000,128
Q318T1A2-021,248.535,0,265102000,128
Q318T1A2-021,248.943,0,314811000,128
Q318T1A2-021,249.35,0,224902000,128
Q318T1A2-021,248.535,0,286260000,128
Q318T1A2-021,247.721,0,292180000,128
Q318T1A2-021,248.535,0,362937000,128
Q318T1A2-021,248.535,0,319232000,128
Q318T1A2-022,248.943,0,372398000,128
Q318T1A2-022,248.535,0,216987000,128
Q318T1A2-023,248.535,0,275898000,128
Q318T1A2-023,248.943,0,209874000,128
Q318T1A2-023,248.943,0,331920000,128
Q318T1A2-024,248.535,0,423426000,128
Q318T1A2-025,248.943,0,230465000,128
Q318T1A2-025,248.535,0,335019000,128
Q318T1A2-026,248.535,0,224994000,128
Q318T1A2-027,248.943,0,204944000,128
Q318T1A2-027,248.535,0,216987000,128
Q318T1A2-028,248.128,0,264667000,128
Q318T1A2-029,248.128,0,225457000,128
Q318T1A2-030,247.721,0,323263000,128
Q318T1A2-030,248.943,0,269046000,128
Q318T1A2-031,248.535,0,458447000,128
Q318T1A2-031,248.943,0,266696000,128
Q318T1A2-032,248.943,0,343109000,128
Q318T1A2-032,248.943,0,272649000,128
Q318T1A2-033,248.128,0,305897000,128
Q318T1A2-034,248.535,0,406489000,128
Q318T1A2-035,248.128,0,272975000,128
Q318T1A2-036,248.535,0,406489000,128
Q318T1A2-037,248.943,0,278874000,128
Q318T1A2-038,248.535,0,254056000,128
Q318T1A2-038,248.943,0,396580000,128
Q318T1A2-039,248.535,0,438657000,128
Q318T1A2-040,248.128,0,274205000,128
Q318T1A2-040,248.943,0,281444000,128
Q318T1A2-041,248.535,0,295987000,128
Q318T1A2-042,248.535,0,282284000,128
Q318T1A2-042,248.943,0,324858000,128
